機械室 6,1,8955.000000000027,18149.999999999978,4099.9999999998945
機械室 6,2,7545.000000000029,18149.99999999998,4099.9999999998945
機械室 6,3,7545.000000000022,13544.999999999976,4099.9999999998945
機械室 6,4,8955.00000000002,13544.999999999973,4099.9999999998945
機械室 12,5,8955.000000000027,18149.999999999978,4099.9999999998945
機械室 12,6,7545.000000000029,18149.99999999998,4099.9999999998945
機械室 12,7,7545.000000000022,13544.999999999976,4099.9999999998945
機械室 12,8,8955.00000000002,13544.999999999973,4099.9999999998945
機械室 1,9,8955.000000000027,18149.999999999978,4099.9999999998945
機械室 1,10,7545.000000000029,18149.99999999998,4099.9999999998945
機械室 1,11,7545.000000000022,13544.999999999976,4099.9999999998945
機械室 1,12,8955.00000000002,13544.999999999973,4099.9999999998945
機械室 2,13,8955.000000000027,18149.999999999978,4099.9999999998945
機械室 2,14,7545.000000000029,18149.99999999998,4099.9999999998945
機械室 2,15,7545.000000000022,13544.999999999976,4099.9999999998945
機械室 2,16,8955.00000000002,13544.999999999973,4099.9999999998945
